ts,t1,t2,stateByte,timeSinceBoot,relayStatusByte,timeSinceCalibration
1717880525978664,0,-112,4,805792943,0,231841267
1717880526131088,0,-112,4,805945426,0,231993750
1717880526283089,0,-112,4,806097426,0,232145750
1717880526435085,0,-168,4,806249423,0,232297747
1717880526586674,0,-168,4,806400952,0,232449276
1717880526744138,0,-168,4,806558476,0,232606800
1717880526948100,0,-168,4,806762439,0,232810763
1717880527050211,0,-168,4,806864498,0,232912822
1717880527201343,0,-168,4,807015636,0,233063960
1717880527358225,0,-168,4,807172561,0,233220885
1717880527511079,54,-168,4,807325418,0,233373742
1717880527663079,0,-168,4,807477418,0,233525742
1717880527820214,0,-168,4,807634551,0,233682875
1717880527973097,0,-168,4,807787434,0,233835758
1717880528179225,0,-168,4,807993558,0,234041882
1717880528335096,0,-112,4,808149434,0,234197758
1717880528492261,0,-112,4,808306545,0,234354869
1717880528593130,0,-112,4,808407469,0,234455793
1717880528754343,0,-112,4,808568640,0,234616964
1717880528906162,0,-112,4,808720500,0,234768824
1717880529109399,0,-168,4,808923686,0,234972010
1717880529215451,0,-168,4,809029790,0,235078114
1717880529368231,0,-168,4,809182521,0,235230845
1717880529519611,0,-168,4,809333898,0,235382222
1717880529671480,0,-168,4,809485817,0,235534141
1717880529823083,0,-168,4,809637422,0,235685746
1717880529975135,0,-168,4,809789472,0,235837796
1717880530132188,0,-168,4,809946525,0,235994849
1717880530234083,0,-168,4,810048422,0,236096746
1717880530386135,0,-168,4,810200472,0,236248796
1717880530539080,0,-168,4,810353419,0,236401743
1717880530695079,0,-112,4,810509418,0,236557742
1717880530846097,0,-168,4,810660435,0,236708759
1717880530997121,0,-168,4,810811459,0,236859783
1717880531214245,0,-168,4,811028583,0,237076907
1717880531315251,54,-168,4,811129588,0,237177912
1717880531476120,0,-168,4,811290458,0,237338782
1717880531633092,0,-168,4,811447422,0,237495746
1717880531738196,0,-168,4,811552533,0,237600857
1717880531890264,0,-168,4,811704600,0,237752924
1717880532041308,0,-168,4,811855646,0,237903970
1717880532194099,0,-168,4,812008437,0,238056761
1717880532347114,0,-112,4,812161418,0,238209742
1717880532452576,0,-168,4,812266911,0,238315235
1717880532605431,54,-168,4,812419769,0,238468093
1717880532757226,0,-168,4,812571508,0,238619832
1717880532858242,0,-168,4,812672542,0,238720866
1717880533060431,0,-168,4,812874768,0,238923092
1717880533219251,0,-168,4,813033553,0,239081877
1717880533321328,54,-168,4,813135614,0,239183938
1717880533474140,0,-168,4,813288478,0,239336802
1717880533626079,0,-168,4,813440418,0,239488742
1717880533778218,0,-168,4,813592555,0,239640879
1717880533939145,0,-168,4,813753483,0,239801807
1717880534094276,0,-168,4,813908612,0,239956936
1717880534250220,0,-168,4,814064558,0,240112882
1717880534402221,0,-168,4,814216557,0,240264881
