ts,st1MPSI,st2MPSI,thermo1C,thermo2C,stateByte,timeSinceBoot,relayStatusByte,timeSinceCalibration
1714166700010490,736741,740305,12.0,14.0,8,2277147162,1,368217599
1714166700215494,738276,741786,14.0,14.0,8,2277352165,1,368422602
1714166700371494,739263,742773,14.0,14.0,8,2277508165,1,368578602
1714166700631493,740908,744418,14.0,14.0,8,2277768165,1,368838602
1714166700834938,742444,745898,14.0,14.0,8,2277971601,1,369042038
1714166700987816,743266,746830,14.0,14.0,8,2278124487,1,369194924
1714166701199666,744418,747927,13.0,13.0,8,2278336338,1,369406775
1714166701359494,745240,748804,14.0,14.0,8,2278496165,1,369566602
1714166701509624,746118,749627,14.0,14.0,8,2278646296,1,369716733
1714166701724509,747214,750778,14.0,14.0,8,2278861179,1,369931616
1714166701884539,748037,751601,14.0,14.0,8,2279021210,1,370091647
1714166702040821,749133,752643,14.0,14.0,8,2279177489,1,370247926
1714166702201541,749956,753465,12.0,14.0,8,2279338212,1,370408649
1714166702407542,750998,754562,14.0,14.0,8,2279544214,1,370614651
1714166702512543,751546,755110,14.0,14.0,8,2279649214,1,370719651
1714166702872484,753465,757029,14.0,14.0,8,2280009165,1,371079602
1714166703082494,754562,758071,14.0,14.0,8,2280219163,1,371289600
1714166703242947,755659,759168,14.0,14.0,8,2280379610,1,371450047
1714166703449806,756810,760319,14.0,14.0,8,2280586478,1,371656915
1714166703601544,757633,761197,14.0,14.0,8,2280738215,1,371808652
1714166703752660,758455,762019,12.0,14.0,8,2280889331,1,371959768
1714166703912566,759333,762842,14.0,14.0,8,2281049233,1,372119670
1714166704077498,760210,763719,14.0,14.0,8,2281214168,1,372284605
1714166704282544,761361,764871,14.0,14.0,8,2281419212,1,372489649
1714166704387546,761964,765474,14.0,14.0,8,2281524217,1,372594654
1714166704544865,763116,766680,14.0,15.0,8,2281681536,1,372751973
1714166704747856,764322,767886,14.0,15.0,8,2281884528,1,372954965
1714166704904543,765200,768764,14.0,14.0,8,2282041214,1,373111651
1714166705009509,765803,769367,14.0,14.0,8,2282146180,1,373216617
1714166705169546,766680,770244,14.0,14.0,8,2282306216,1,373376653
1714166705334494,767612,771176,14.0,15.0,8,2282471165,1,373541602
1714166705544811,769093,772657,14.0,14.0,8,2282681482,1,373751919
1714166705697807,770025,773589,14.0,14.0,8,2282834479,1,373904916
1714166705850496,770957,774521,14.0,14.0,8,2282987166,1,374057603
1714166706007490,771889,775399,14.0,14.0,8,2283144162,1,374214599
1714166706163506,772822,776331,14.0,14.0,8,2283300177,1,374370614
1714166706370496,773973,777537,14.0,14.0,8,2283507168,1,374577605
1714166706527494,774905,778469,14.0,14.0,8,2283664165,1,374734602
1714166706737540,776057,779621,14.0,14.0,8,2283874211,1,374944648
1714166706898817,777263,780882,14.0,14.0,8,2284035488,1,375105925
1714166707051818,778195,781759,14.0,14.0,8,2284188489,1,375258926
1714166707254521,779347,782911,14.0,14.0,8,2284391191,1,375461628
1714166707409543,780224,783788,12.0,14.0,8,2284546214,1,375616651
1714166707565494,781101,784720,14.0,14.0,8,2284702165,1,375772602
1714166707725618,781924,785543,14.0,14.0,8,2284862290,1,375932727
1714166707890533,782801,786420,14.0,14.0,8,2285027204,1,376097641
1714166708041494,783624,787243,14.0,14.0,8,2285178165,1,376248602
1714166708196491,784501,788120,12.0,14.0,8,2285333162,1,376403599
1714166708346541,785324,788888,14.0,14.0,8,2285483212,1,376553649
1714166708506815,786420,790039,14.0,14.0,8,2285643486,1,376713923
1714166708667494,787243,790862,14.0,14.0,8,2285804165,1,376874602
1714166708827501,788010,791684,14.0,14.0,8,2285964172,1,377034609
1714166708984506,788833,792452,14.0,14.0,8,2286121177,1,377191614
1714166709185565,789875,793549,14.0,14.0,8,2286322226,1,377392663
1714166709345493,790697,794371,14.0,14.0,4,2286482165,0,377552602
1714166709500508,790917,794535,14.0,15.0,4,2286637180,0,377707617
1714166709707926,790533,794152,14.0,14.0,4,2286844594,0,377915031
1714166709910523,790313,793987,14.0,15.0,4,2287047195,0,378117632
1714166710070616,790204,793823,14.0,15.0,4,2287207288,0,378277725
1714166710235493,790094,793713,14.0,15.0,4,2287372165,0,378442602
1714166710395594,789984,793603,14.0,14.0,4,2287532247,0,378602684
1714166710505492,789930,793549,14.0,14.0,4,2287642165,0,378712602
1714166710660814,789765,793384,11.0,14.0,4,2287797486,0,378867923
1714166710862556,789655,793220,14.0,15.0,4,2287999224,0,379069661
1714166710967525,789546,793165,14.0,15.0,4,2288104197,0,379174634
1714166711127493,789436,793055,14.0,15.0,4,2288264165,0,379334602
1714166711282523,789381,792945,14.0,15.0,4,2288419196,0,379489633
1714166711492539,789217,792781,14.0,15.0,4,2288629211,0,379699648
1714166711652495,789107,792671,14.0,14.0,4,2288789167,0,379859604
1714166711803616,788997,792562,14.0,15.0,4,2288940289,0,380010726
1714166711964836,788888,792452,14.0,15.0,4,2289101508,0,380171945
1714166712121604,788778,792342,14.0,15.0,4,2289258256,0,380328693
1714166712286493,788668,792232,11.0,15.0,4,2289423165,0,380493602
1714166712437493,788559,792123,14.0,15.0,4,2289574165,0,380644602
1714166712703483,788394,791958,14.0,15.0,4,2289840165,0,380910602
1714166712908494,788285,791849,14.0,15.0,4,2290045165,0,381115602
1714166713064821,788120,791739,14.0,15.0,4,2290201493,0,381271930
1714166713268496,788010,791575,14.0,15.0,4,2290405168,0,381475605
1714166713423541,787956,791465,12.0,15.0,4,2290560213,0,381630650
1714166713574546,786914,790478,14.0,15.0,27,2290711218,2,381781655
1714166713789542,781650,785049,14.0,14.0,27,2290926214,2,381996651
1714166713894542,779018,782472,14.0,15.0,27,2291031214,2,382101651
1714166714059569,775179,778579,14.0,14.0,27,2291196219,2,382266656
1714166714430497,765090,768490,14.0,14.0,27,2291567167,2,382637604
1714166714590494,761416,764761,14.0,15.0,27,2291727165,2,382797602
1714166714750615,757797,761142,14.0,15.0,27,2291887287,2,382957724
1714166714915522,754123,757523,14.0,14.0,27,2292052194,2,383122631
1714166715071809,749463,752698,14.0,15.0,27,2292208482,2,383278919
1714166715223587,745953,749243,14.0,15.0,27,2292360221,2,383430658
1714166715378506,742499,745734,14.0,15.0,27,2292515178,2,383585615
1714166715538494,739099,742334,14.0,15.0,27,2292675165,2,383745602
1714166715748494,734657,737838,14.0,15.0,27,2292885165,2,383955602
1714166715903546,731422,734548,14.0,15.0,27,2293040218,2,384110655
1714166716118492,727255,730326,14.0,15.0,27,2293255163,2,384325600
1714166716274814,723252,726432,14.0,15.0,27,2293411485,2,384481922
1714166716476528,720017,723142,14.0,15.0,27,2293613200,2,384683637
1714166716632540,718262,721333,14.0,14.0,27,2293769212,2,384839649
1714166716784543,717056,720181,14.0,15.0,27,2293921215,2,384991652
1714166716945495,716617,719743,14.0,15.0,27,2294082165,2,385152602
1714166717305493,717549,720675,14.0,15.0,27,2294442165,2,385512602
1714166717460560,718482,721607,14.0,15.0,27,2294597218,2,385667655
1714166717611542,719359,722484,14.0,15.0,27,2294748214,2,385818651
1714166717921494,720949,724075,14.0,15.0,27,2295058165,2,386128602
1714166718077808,721662,724787,14.0,15.0,27,2295214480,2,386284917
1714166718440483,721881,725062,14.0,15.0,27,2295577164,2,386647601
1714166718600494,722649,725829,14.0,15.0,4,2295737165,0,386807602
1714166718760536,724184,727310,14.0,15.0,4,2295897209,0,386967646
1714166718920684,724952,728077,14.0,15.0,4,2296057332,0,387127769
1714166719076490,725445,728571,14.0,15.0,4,2296213162,0,387283599
1714166719181853,725774,728900,14.0,15.0,4,2296318526,0,387388963
1714166719394543,726378,729558,14.0,15.0,8,2296531214,1,387601651
1714166719554495,728132,731313,14.0,14.0,8,2296691165,1,387761602
1714166719714542,729448,732519,14.0,15.0,8,2296851213,1,387921650
1714166719869540,730435,733561,14.0,15.0,8,2297006211,1,388076648
1714166720029853,731642,734822,14.0,15.0,8,2297166524,1,388236961
1714166720182856,732519,735699,14.0,15.0,8,2297319527,1,388389964
1714166720335491,733341,736467,14.0,15.0,8,2297472162,1,388542599
1714166720695487,735206,738386,14.0,15.0,8,2297832166,1,388902603
1714166720855540,735973,739099,14.0,15.0,8,2297992212,1,389062649
1714166721015518,736741,739867,14.0,15.0,8,2298152188,1,389222625
1714166721170616,737509,740579,14.0,15.0,8,2298307287,1,389377724
1714166721335812,738496,741676,14.0,15.5,8,2298472482,1,389542919
1714166721487858,739263,742389,14.0,15.0,8,2298624529,1,389694966
1714166721698544,740250,743431,14.0,15.5,8,2298835215,1,389905652
1714166721858542,741018,744144,14.0,15.0,8,2298995214,1,390065651
1714166721963546,741512,744637,14.0,15.0,8,2299100217,1,390170654
1714166722123494,742224,745405,14.0,15.0,8,2299260165,1,390330602
1714166722228583,742773,745843,14.0,15.0,8,2299365240,1,390435677
1714166722440492,743979,747159,12.0,15.0,8,2299577162,1,390647599
1714166722601494,744692,747817,14.0,15.0,8,2299738165,1,390808602
1714166722761548,745405,748585,14.0,15.0,8,2299898218,1,390968655
1714166722867547,745898,749079,14.0,15.0,8,2300004214,1,391074651
1714166723073494,746940,750066,14.0,15.0,8,2300210165,1,391280602
1714166723225494,747598,750724,14.0,15.0,8,2300362165,1,391432602
1714166723380495,748366,751546,14.0,15.0,8,2300517167,1,391587604
1714166723591857,749682,752807,14.0,15.0,8,2300728528,1,391798965
1714166723693529,750175,753301,14.0,15.5,8,2300830200,1,391900637
1714166723903563,751162,754288,14.0,15.0,8,2301040226,1,392110663
1714166724059605,751985,755110,14.0,15.0,8,2301196240,1,392266677
1714166724219494,752753,755878,14.0,15.0,8,2301356165,1,392426602
1714166724374544,753575,756755,14.0,15.0,8,2301511215,1,392581652
1714166724525543,754398,757578,14.0,15.0,8,2301662212,1,392732649
1714166724685495,755275,758400,14.0,15.0,8,2301822166,1,392892603
1714166724895857,756701,759826,14.0,15.0,8,2302032528,1,393102965
1714166725051494,757578,760758,14.0,15.0,8,2302188166,1,393258603
1714166725206494,758455,761635,14.0,15.0,8,2302343165,1,393413602
1714166725366491,759387,762568,14.0,14.0,8,2302503162,1,393573599
1714166725522494,760319,763445,14.0,15.0,8,2302659165,1,393729602
1714166725677516,761252,764432,14.0,15.0,8,2302814172,1,393884609
1714166725833496,762184,765364,14.0,15.0,8,2302970167,1,394040604
1714166725988494,763061,766296,14.0,15.0,8,2303125165,1,394195602
1714166726144944,764377,767557,14.0,15.0,8,2303281607,1,394352044
1714166726348981,765638,768764,14.0,15.0,8,2303485639,1,394556076
1714166726550663,766845,770080,14.0,15.0,8,2303687335,1,394757772
1714166726655695,767557,770683,14.0,15.0,8,2303792355,1,394862792
1714166726920494,769038,772273,14.0,15.0,8,2304057165,1,395127602
1714166727075494,769970,773205,14.0,15.0,8,2304212165,1,395282602
1714166727235494,770847,774083,14.0,15.0,8,2304372165,1,395442602
1714166727390491,771780,775015,14.0,15.0,8,2304527162,1,395597599
1714166727550810,773041,776221,14.0,15.0,8,2304687481,1,395757918
1714166727702819,773918,777153,14.0,15.0,8,2304839489,1,395909926
1714166727858543,774850,778031,14.0,15.0,8,2304995214,1,396065651
1714166728068494,776002,779237,14.0,15.0,8,2305205165,1,396275602
1714166728223495,776879,780114,14.0,15.0,8,2305360165,1,396430602
1714166728438542,778031,781266,14.0,15.0,8,2305575214,1,396645651
1714166728595568,778963,782198,14.0,15.0,8,2305732226,1,396802663
1714166728696531,779511,782746,14.0,15.5,8,2305833202,1,396903639
1714166728904944,780937,784172,14.0,15.0,8,2306041606,1,397112043
1714166729106619,782088,785324,14.0,15.0,8,2306243290,1,397313727
1714166729266493,782911,786146,12.0,15.5,4,2306403165,0,397473602
1714166729421492,783569,786804,14.0,15.5,4,2306558165,0,397628602
1714166729631506,783240,786475,14.0,15.5,4,2306768178,0,397838615
1714166729732563,783185,786420,14.0,15.5,4,2306869225,0,397939662
1714166729997493,782966,786201,14.0,15.0,4,2307134165,0,398204602
1714166730152493,782856,786091,14.0,15.0,4,2307289165,0,398359602
1714166730308807,782746,785982,14.0,15.0,4,2307445480,0,398515917
1714166730469493,782637,785872,14.0,15.0,4,2307606165,0,398676602
1714166730620493,782582,785817,14.0,15.0,4,2307757165,0,398827602
1714166730780493,782472,785707,14.0,15.0,4,2307917165,0,398987602
1714166730935494,782417,785598,14.0,15.0,4,2308072164,0,399142601
1714166731086493,782308,785543,14.0,15.0,4,2308223165,0,399293602
1714166731238622,781814,785049,14.0,15.0,27,2308375260,2,399445697
1714166731449596,776441,779566,11.0,15.0,27,2308586245,2,399656682
1714166731550527,773754,776934,14.0,15.0,27,2308687199,2,399757636
1714166731707839,768490,771615,12.0,15.0,27,2308844509,2,399914946
1714166731962776,762019,765145,14.0,15.0,27,2309099459,2,400169896
1714166732898481,740031,742992,14.0,15.0,27,2310035164,2,401105601
1714166734652591,712889,715685,14.0,15.0,27,2311789244,2,402859681
1714166734757592,713272,716069,14.0,14.0,27,2311894227,2,402964664
1714166734918809,714369,717166,14.0,15.0,27,2312055481,2,403125918
1714166735120528,715575,718427,14.0,15.0,27,2312257200,2,403327637
1714166735276544,716508,719304,14.0,15.0,27,2312413216,2,403483653
1714166735646476,718153,721004,14.0,15.0,27,2312783164,2,403853601
1714166735806495,718536,721388,14.0,15.0,27,2312943165,2,404013602
1714166735962494,718646,721497,14.0,15.0,27,2313099165,2,404169602
1714166736118808,718536,721333,14.0,15.0,27,2313255479,2,404325916
1714166736322816,720346,723197,14.0,15.0,4,2313459487,0,404529924
1714166736473814,721497,724294,14.0,15.0,4,2313610486,0,404680923
1714166736630493,722046,724897,14.0,15.0,4,2313767166,0,404837603
1714166736785615,722430,725281,14.0,15.0,4,2313922288,0,404992725
1714166736945516,722704,725555,14.0,15.0,4,2314082188,0,405152625
1714166737315493,723033,725884,14.0,15.0,4,2314452165,0,405522602
1714166737470544,723197,725994,14.0,15.0,8,2314607215,1,405677652
1714166737631496,724787,727584,14.0,14.0,8,2314768166,1,405838603
1714166737792543,725939,728735,14.0,15.0,8,2314929214,1,405999651
1714166737952492,726926,729777,12.0,15.0,8,2315089163,1,406159600
1714166738057612,727584,730380,14.0,15.0,8,2315194253,1,406264690
1714166738217612,728461,731203,14.0,15.0,8,2315354263,1,406424700
