ts,data
1714166700001843,10.6334
1714166700005820,11.2691
1714166700009882,11.4854
1714166700014295,11.7298
1714166700017913,11.9479
1714166700021874,12.0987
1714166700026681,12.1861
1714166700030873,12.245
1714166700034186,12.3229
1714166700037851,12.3615
1714166700041749,12.3638
1714166700045848,12.407
1714166700049815,12.5062
1714166700053753,12.6233
1714166700057808,12.7108
1714166700061826,12.9086
1714166700065880,13.0437
1714166700069896,13.222
1714166700073809,13.389
1714166700078777,13.4961
1714166700083875,13.593
1714166700087776,13.667
1714166700091937,13.6485
1714166700095780,13.2702
1714166700099840,13.042
1714166700103840,12.7859
1714166700107779,12.4126
1714166700112962,11.366
1714166700116069,10.8503
1714166700119765,10.3229
1714166700123961,9.74832
1714166700133391,8.0667
1714166700137812,7.67713
1714166700142560,7.22982
1714166700146365,6.49271
1714166700149825,6.3083
1714166700153805,6.19731
1714166700157764,6.09697
1714166700161777,6.02971
1714166700165746,6.03868
1714166700170127,6.1009
1714166700173680,6.15527
1714166700177772,6.20516
1714166700181744,6.24608
1714166700185739,6.33632
1714166700189666,6.39013
1714166700198626,6.45684
1714166700201766,6.50897
1714166700205728,6.71973
1714166700209719,6.85146
1714166700213731,6.93274
1714166700217701,7.05998
1714166700222157,7.30269
1714166700225797,7.89686
1714166700229889,8.17265
1714166700233795,8.4759
1714166700237660,8.86659
1714166700241690,9.28307
1714166700245732,10.0667
1714166700249758,10.3918
1714166700253686,10.7522
1714166700257813,11.0751
1714166700261794,11.3744
1714166700265810,11.718
1714166700269892,11.8161
1714166700273763,11.9126
1714166700277779,11.9137
1714166700281764,11.7898
1714166700286171,11.5415
1714166700289827,11.4154
1714166700293818,11.2853
1714166700297818,11.1441
1714166700301729,10.9703
1714166700305686,10.9501
1714166700309933,11.0045
1714166700313680,11.0656
1714166700317703,11.1738
1714166700321799,11.3744
1714166700325802,11.9277
1714166700330050,12.1872
1714166700333987,12.4737
1714166700337813,12.8313
1714166700341706,13.1743
1714166700350963,13.7522
1714166700353689,13.8459
1714166700358466,13.9176
1714166700365943,13.3643
1714166700369689,13.0768
1714166700373681,12.7612
1714166700379503,11.9283
1714166700383695,11.4114
1714166700388977,10.903
1714166700392675,10.014
1714166700395821,9.58184
1714166700401698,9.16984
1714166700405735,8.49496
1714166700409810,8.23318
1714166700413695,8.01009
1714166700421883,7.62052
1714166700425798,7.34025
1714166700429800,7.22478
1714166700440343,6.76401
1714166700443762,6.64182
1714166700447769,6.48767
1714166700451763,6.27186
1714166700455695,5.92489
1714166700459906,5.77915
1714166700463696,5.61939
1714166700467774,5.35818
1714166700475779,5.3139
1714166700479747,5.37836
1714166700483937,5.49159
1714166700487766,5.65191
1714166700492229,6.16256
1714166700495773,6.51401
1714166700500248,6.91087
1714166700503892,7.34025
1714166700507759,8.68834
1714166700515761,9.15415
1714166700519842,9.62108
1714166700523694,10.0342
1714166700527779,10.4058
1714166700531726,10.7309
1714166700538411,11.2192
1714166700542373,11.5308
1714166700545691,11.6575
1714166700550192,11.7046
1714166700554970,11.7085
1714166700557713,11.7007
1714166700561715,11.8369
1714166700567406,11.833
1714166700571686,11.8212
1714166700575961,11.8677
1714166700579746,11.9781
1714166700587764,12.0987
1714166700593723,12.2085
1714166700597730,12.338
1714166700604228,12.3335
1714166700607790,12.3161
1714166700611778,12.2719
1714166700615758,12.0611
1714166700623970,11.9019
1714166700628864,11.7287
1714166700631679,11.5409
1714166700635715,11.065
1714166700639700,10.5123
1714166700645601,10.2607
1714166700649773,10.0235
1714166700653671,9.7657
1714166700659872,9.18554
1714166700663561,8.92713
1714166700668930,8.78083
1714166700671743,8.59753
1714166700675683,8.1704
1714166700680173,8.03643
1714166700683856,7.92489
1714166700688572,7.78083
1714166700691689,7.6407
1714166700695886,7.44451
1714166700703753,7.24159
1714166700709624,7.20572
1714166700714941,7.19226
1714166700717644,7.2287
1714166700721704,7.25897
1714166700726571,7.28643
1714166700729675,7.37276
1714166700733626,7.42489
1714166700737718,7.463
1714166700742661,7.57455
1714166700745657,7.62052
1714166700749613,7.70067
1714166700753651,7.78924
1714166700757618,7.86323
1714166700761683,8.10034
1714166700769656,8.21861
1714166700773581,8.34585
1714166700777630,8.45123
1714166700781608,8.55661
1714166700785658,9.13845
1714166700796003,9.28307
1714166700799664,9.45908
1714166700803681,9.63229
1714166700807687,9.72702
1714166700811702,9.80942
1714166700819704,10.3145
1714166700823686,10.4669
1714166700828268,10.5936
1714166700831755,10.7629
1714166700835752,11.1373
1714166700839593,11.3358
1714166700843673,11.5213
1714166700847765,11.727
1714166700851703,11.9327
1714166700855960,12.3442
1714166700859661,12.5561
1714166700863650,12.7214
1714166700867704,12.889
1714166700872172,13.0493
1714166700875856,13.2937
1714166700879748,13.3324
1714166700883760,13.2965
1714166700887801,13.2522
1714166700894342,13.0645
1714166700903533,12.3739
1714166700907914,12.0902
1714166700911718,11.7573
1714166700915722,11.0364
1714166700919727,10.6777
1714166700924205,10.3324
1714166700927538,9.94283
1714166700931508,9.55942
1714166700935570,8.94731
1714166700939636,8.36771
1714166700947639,8.12108
1714166700951694,7.90471
1714166700955854,7.59585
1714166700959832,7.39798
1714166700963601,7.28587
1714166700969668,7.18498
1714166700973570,7.16368
1714166700977579,7.15695
1714166700981576,7.18161
1714166700985650,7.2528
1714166700990718,7.35146
1714166700993590,7.43386
1714166700998679,7.60314
1714166701001911,7.60314
1714166701005693,7.86603
1714166701009732,8.00392
1714166701013615,8.12892
1714166701018596,8.25392
1714166701021628,8.40135
1714166701025640,8.7657
1714166701029598,8.87276
1714166701033809,8.97534
1714166701037602,9.13285
1714166701041546,9.31334
1714166701045582,9.53587
1714166701049597,9.64742
1714166701053638,9.76962
1714166701059715,9.96917
1714166701063666,10.0426
1714166701067561,10.1306
1714166701071725,10.236
1714166701075571,10.4692
1714166701079649,10.56
1714166701084596,10.6788
1714166701087588,10.8217
1714166701091652,10.9675
1714166701096029,11.2399
1714166701100050,11.3963
1714166701103829,11.5308
1714166701108307,11.6317
1714166701115746,11.9725
1714166701119550,12.0437
1714166701125150,12.1104
1714166701128741,12.1581
1714166701131558,12.19
1714166701135655,12.204
1714166701139556,12.1239
1714166701147553,11.9613
1714166701155261,11.7881
1714166701159634,11.6973
1714166701163650,11.5684
1714166701167703,11.4339
1714166701171603,11.2937
1714166701175662,11.0774
1714166701179598,10.9131
1714166701183637,10.6334
1714166701191670,10.5191
1714166701195503,10.3201
1714166701199602,10.1889
1714166701203569,10.0633
1714166701207510,9.93946
1714166701211552,9.67601
1714166701215541,9.54316
1714166701219631,9.3935
1714166701223636,9.22141
1714166701227560,9.06502
1714166701232249,8.8907
1714166701235492,8.5157
1714166701240100,8.33632
1714166701243476,8.18217
1714166701247515,8.03251
1714166701253149,7.68946
1714166701257578,7.50841
1714166701261734,7.42937
1714166701265570,7.3083
1714166701269574,7.22197
1714166701273565,7.19787
1714166701277557,7.24271
1714166701282161,7.29484
1714166701286502,7.33688
1714166701292284,7.41704
1714166701295571,7.68217
1714166701300771,7.78195
1714166701303529,7.87276
1714166701307492,7.97029
1714166701311745,8.10146
1714166701315473,8.34417
1714166701319626,8.45179
1714166701323563,8.58857
1714166701327485,8.69675
1714166701331630,8.7657
1714166701337091,9.01962
1714166701339544,9.17209
1714166701343566,9.34025
1714166701347628,9.50729
1714166701351455,9.67937
1714166701355513,10.0488
1714166701359570,10.5006
1714166701367512,10.7175
1714166701371642,10.9316
1714166701375563,11.4103
1714166701380281,11.6441
1714166701384435,11.8447
1714166701387496,12.0325
1714166701391520,12.2186
1714166701396946,12.5504
1714166701402825,12.6777
1714166701405508,12.75
1714166701409572,12.7741
1714166701413607,12.7578
1714166701417540,12.7001
1714166701421570,12.5717
1714166701425633,12.2556
1714166701430807,12.0516
1714166701433617,11.8066
1714166701437610,11.5577
1714166701441585,11.0415
1714166701447551,10.7769
1714166701451534,10.5179
1714166701455650,9.80774
1714166701465358,9.42152
1714166701469472,9.28195
1714166701474416,9.15303
1714166701479005,8.96413
1714166701482448,8.78531
1714166701485680,8.63957
1714166701489550,8.52578
1714166701498281,8.34585
1714166701501470,8.29204
1714166701505521,8.13901
1714166701510701,8.07175
1714166701514221,8.0157
1714166701517556,7.97085
1714166701521563,7.9148
1714166701525573,7.84978
1714166701529520,7.84081
1714166701533592,7.84025
1714166701537518,7.84753
1714166701541703,7.85706
1714166701545547,7.99103
1714166701549623,8.04148
1714166701554532,8.07455
1714166701557694,8.18386
1714166701561640,8.30717
1714166701566351,8.5185
1714166701569525,8.65247
1714166701573569,8.77466
1714166701577532,8.88565
1714166701581713,8.97253
1714166701585467,9.18946
1714166701589457,9.26906
1714166701593467,9.31278
1714166701597492,9.34809
1714166701601454,9.38901
1714166701605510,9.47029
1714166701609569,9.48711
1714166701614173,9.50897
1714166701617536,9.54372
1714166701621555,9.61435
1714166701625447,9.69843
1714166701629454,9.79428
1714166701633505,9.96637
1714166701637522,10.1172
1714166701641534,10.287
1714166701645572,10.7354
1714166701649549,10.9837
1714166701653601,11.2438
1714166701657460,11.5084
1714166701662694,11.7836
1714166701667018,12.278
1714166701671546,12.5191
1714166701675492,12.9103
1714166701679500,13.0499
1714166701683593,13.1396
1714166701687504,13.1979
1714166701692035,13.2186
1714166701695551,13.1883
1714166701707452,12.7898
1714166701711474,12.6138
1714166701715426,12.1513
1714166701719529,11.9215
1714166701723529,11.6732
1714166701728289,11.4047
1714166701731490,11.1138
1714166701735632,10.5235
1714166701739907,10.2478
1714166701743533,9.98038
1714166701747778,9.69226
1714166701751556,9.40191
1714166701755654,9.11827
1714166701760919,8.60034
1714166701763605,8.35706
1714166701767442,8.11155
1714166701771611,7.89742
1714166701775799,7.45348
1714166701779982,7.21076
1714166701785576,7.09305
1714166701789963,7.00504
1714166701793865,6.9759
1714166701797778,6.97982
1714166701801700,7.01457
1714166701805656,7.1037
1714166701809615,7.35426
1714166701813485,7.5241
1714166701817578,7.72029
1714166701825794,8.4546
1714166701830535,8.71805
1714166701839990,9.44619
1714166701843535,9.69619
1714166701847416,9.88229
1714166701851837,10.0157
1714166701856030,10.2691
1714166701860007,10.3307
1714166701863668,10.3677
1714166701867391,10.3784
1714166701871653,10.3526
1714166701875675,10.1676
1714166701879560,10.0611
1714166701884715,9.96749
1714166701887701,9.64574
1714166701897631,9.55381
1714166701910908,9.62052
1714166701914550,9.72814
1714166701917457,9.8963
1714166701921488,10.0639
1714166701925454,10.2209
1714166701929370,10.75
1714166701933413,11.032
1714166701938454,11.3027
1714166701941595,11.5566
1714166701945516,12.0527
1714166701949624,12.2876
1714166701953452,12.4697
1714166701957500,12.5947
1714166701961462,12.7113
1714166701965488,12.801
1714166701971465,12.7556
1714166701975441,12.6614
1714166701980163,12.3862
1714166701983515,12.1984
1714166701987494,11.9731
1714166701991641,11.7438
1714166701995450,11.5095
1714166701999432,10.8957
1714166702003529,10.6642
1714166702007479,10.4445
1714166702011447,9.9815
1714166702018011,9.76289
1714166702021403,9.26906
1714166702029592,9.12668
1714166702035037,8.79316
1714166702040319,8.63565
1714166702043381,8.32791
1714166702049443,8.1463
1714166702053416,7.98262
1714166702057447,7.80157
1714166702062323,7.63229
1714166702065332,7.46357
1714166702069640,7.23935
1714166702073479,7.09641
1714166702077536,7.02298
1714166702081507,6.96917
1714166702085417,7.00112
1714166702089453,7.07623
1714166702093452,7.16984
1714166702097379,7.29765
1714166702101448,7.47478
1714166702105532,7.69675
1714166702109515,8.21076
1714166702113399,8.46469
1714166702117586,8.7315
1714166702121538,9.00617
1714166702125514,9.26738
1714166702129536,9.73711
1714166702133467,9.94731
1714166702137555,10.1115
1714166702141538,10.2629
1714166702145466,10.343
1714166702149569,10.4479
1714166702153550,10.5286
1714166702157717,10.5504
1714166702161401,10.6127
1714166702169673,10.6463
1714166702173398,10.6895
1714166702178814,10.7354
1714166702181497,10.8139
1714166702185475,11.0034
1714166702192453,11.1323
1714166702195378,11.4086
1714166702199464,11.5432
1714166702203520,11.6637
1714166702207550,11.7965
1714166702211421,11.9249
1714166702215426,12.0589
1714166702225355,12.0286
1714166702229524,11.9731
1714166702233443,11.8851
1714166702237448,11.7607
1714166702241435,11.6177
1714166702245418,11.2915
1714166702249487,11.1357
1714166702253410,10.9591
1714166702257463,10.7713
1714166702261429,10.6233
1714166702265424,10.4709
1714166702269369,10.2035
1714166702273363,10.1026
1714166702278273,10.009
1714166702282249,9.91816
1714166702285358,9.81951
1714166702289373,9.72365
1714166702293422,9.59473
1714166702297402,9.45291
1714166702301408,9.36883
1714166702305473,9.25729
1714166702309339,8.97253
1714166702313384,8.79036
1714166702317383,8.62164
1714166702321404,8.44395
1714166702325393,8.24776
1714166702329452,7.86155
1714166702335289,7.6833
1714166702339390,7.3991
1714166702343412,7.28643
1714166702347519,7.19843
1714166702351453,7.15583
1714166702355409,7.14798
1714166702359623,7.23935
1714166702363376,7.37556
1714166702367378,7.47253
1714166702371376,7.59249
1714166702375377,7.75561
1714166702381203,8.17993
1714166702386466,8.56951
1714166702389532,8.76513
1714166702393402,8.96132
1714166702397392,9.1407
1714166702401432,9.30325
1714166702405378,9.43161
1714166702409416,9.6435
1714166702413377,9.72478
1714166702417363,9.81726
1714166702421446,9.87332
1714166702425333,10.005
1714166702429439,10.0645
1714166702433430,10.1351
1714166702441596,10.4098
1714166702445438,10.4098
1714166702450249,10.7001
1714166702454766,10.8425
1714166702457436,11.0112
1714166702461403,11.2096
1714166702465715,11.5908
1714166702469383,11.787
1714166702473492,11.972
1714166702479353,12.3111
1714166702484044,12.5101
1714166702489372,12.5841
1714166702493628,12.6284
1714166702497387,12.6244
1714166702501409,12.5858
1714166702505338,12.3907
1714166702511741,12.2775
1714166702517844,11.9002
1714166702521418,11.6609
1714166702525527,11.4507
1714166702529384,10.7674
1714166702537408,10.5123
1714166702541335,10.2769
1714166702545733,10.0712
1714166702553925,9.48318
1714166702557431,9.31334
1714166702562406,9.15807
1714166702566119,9.01121
1714166702569390,8.74439
1714166702573381,8.61771
1714166702577642,8.39518
1714166702585529,8.19787
1714166702589396,8.06166
1714166702595342,7.82735
1714166702599327,7.75448
1714166702604277,7.66928
1714166702607388,7.58072
1714166702611333,7.58072
1714166702615371,7.56614
1714166702619934,7.60594
1714166702624177,7.65919
1714166702627556,7.75168
1714166702631355,7.86211
1714166702635420,7.98711
1714166702643786,8.50729
1714166702647345,8.69058
1714166702651798,8.8778
1714166702655440,9.26009
1714166702659266,9.463
1714166702663349,9.6037
1714166702672090,9.81895
1714166702675241,9.96188
1714166702680788,10.1525
1714166702683322,10.2124
1714166702687892,10.2657
1714166702692453,10.3083
1714166702696237,10.352
1714166702699313,10.4815
1714166702703326,10.5348
1714166702707286,10.6155
1714166702711341,10.8425
1714166702715325,10.9664
1714166702719421,11.0992
1714166702723268,11.259
1714166702727273,11.4428
1714166702731551,11.6003
1714166702735330,11.7747
1714166702739302,12.0381
1714166702743364,12.157
1714166702747356,12.2747
1714166702752010,12.3453
1714166702756818,12.3946
1714166702759352,12.3991
1714166702764274,12.3761
1714166702767297,12.3212
1714166702771260,12.236
